state_step_kwh,state_count,total_cost_yuan,total_purchase_kwh,total_charge_kwh,total_discharge_kwh,total_curtailment_kwh,max_balance_error_kwh,max_state_error_kwh,energy_min_kwh,energy_max_kwh,energy_initial_kwh,energy_final_kwh,max_charge_kwh,max_discharge_kwh,simultaneous_slots,curtailment_exceeds_pv_slots,cost_gap_vs_milp_yuan,relative_cost_gap_vs_milp
200,49,36255.949848603326,60114.45348333333,20222.22222222222,16380.0,730.2588277777774,1.1368683772161603e-13,0.0,1200.0,10800.0,6000.0,6000.0,666.6666666666666,720.0,0,0,1129.1012593136984,0.03214353990349039
100,97,35698.953230375555,59797.789838888886,20222.222222222223,16380.0,413.59518333333233,1.1368683772161603e-13,0.0,1200.0,10800.0,6000.0,6000.0,777.7777777777777,630.0,0,0,572.1046410859271,0.016286819457534962
50,193,35404.76021889555,59613.85433888888,20500.0,16605.0,176.88190555555502,1.1368683772161603e-13,0.0,1200.0,10800.0,6000.0,6000.0,833.3333333333333,675.0,0,0,277.9116296059219,0.007911658482527839
20,481,35222.57173684222,59536.60467777777,20666.666666666664,16740.0,67.96557777777701,1.1368683772161603e-13,2.842170943040401e-14,1200.0,10800.0,6000.0,6000.0,822.2222222222222,702.0,0,0,95.7231475525914,0.0027250707477863845
10,961,35184.22172587055,59492.658800000005,20666.666666666664,16740.0,24.019699999999716,1.1368683772161603e-13,2.842170943040401e-14,1200.0,10800.0,6000.0,6000.0,833.3333333333333,711.0,0,0,57.37313658092171,0.0016333129467929197
5,1921,35151.03031709944,59495.19876666666,20722.22222222222,16785.0,16.00411111111066,1.1368683772161603e-13,2.842170943040401e-14,1200.0,10800.0,6000.0,6000.0,833.3333333333333,715.5,0,0,24.181727809809672,0.0006884115365015653
