target,model,mae_kw,rmse_kw,daily_energy_mape
负载,前一日曲线,650.0131332584831,1128.3888545590798,0.14043043860811327
负载,上一同星期日曲线,176.7913137371091,244.2815857177465,0.015008043351415253
负载,修订版主模型,159.68920153757267,210.3425839849262,0.020927123270260507
光伏,前一日曲线,185.34649152736193,375.17487813659034,0.040756207657167046
光伏,上一同星期日曲线,214.68823137890885,419.9479682302922,0.059585046868062465
光伏,修订版主模型,152.21184367442274,303.52975417762724,0.03914162382294621
