date,hour,history_count,source,weight,mae_Q,mae_A,mae_F,rmse_Q,rmse_A,rmse_F
2025-01-01,0,0,Q,1.0,,,,,,
2025-01-01,6,0,Q,1.0,,,,,,
2025-01-01,12,0,Q,1.0,,,,,,
2025-01-01,18,0,Q,1.0,,,,,,
2025-01-02,0,1,A,0.0,842.9938874999999,94.51452500000002,102.52101539351855,1217.1863168434993,202.98535288965545,219.93330705730398
2025-01-02,6,1,F,0.0,1114.427238888889,91.12810493827163,87.69771296296301,1404.5735391984324,153.0355108166639,148.52823849015158
2025-01-02,12,1,A,0.0,856.0052069444444,32.69438449074073,35.07811249999997,1245.2014173902783,60.80436149920811,71.74340345898912
2025-01-02,18,1,A,0.0,17.80913888888889,0.0009138888888888889,0.012506944444444444,58.821414317619045,0.005129787736565932,0.06971676655281885
2025-01-03,0,2,A,0.0,452.0721697916666,118.58684155092594,120.01672390046298,865.8710180707274,236.5554439750208,237.1364926663387
2025-01-03,6,2,A,0.01,597.9805833333334,111.37502561728397,110.2036208194445,999.1806077051122,190.74377392281733,196.11235737640033
2025-01-03,12,2,A,0.0,453.00651388888883,28.159463773148175,34.8066505787037,883.2153513176307,54.51755942064681,71.22266459030624
2025-01-03,18,2,A,0.0,8.904629166666666,0.0009736111111111111,0.006313194444444444,41.593020945658324,0.005474270626201165,0.04929946492115652
2025-01-04,0,3,A,0.0,330.1009603645312,99.27398425925928,99.67346245849075,717.0430237573488,205.52932981581773,206.3034938689786
2025-01-04,6,3,A,0.02,436.9463966056355,102.4143649176955,106.05983653864044,827.453841373492,175.14622027738383,185.70421415941465
2025-01-04,12,3,A,0.0,335.272314504635,33.12973719135805,38.39776063548196,733.4475043337081,66.90533310219199,80.95334869754211
2025-01-04,18,3,A,0.0,5.936451067351168,0.0009435185185185184,0.004240419203020128,33.960559393950504,0.005309120384702089,0.04025399631898732
2025-01-05,0,4,A,0.0,268.9171744716789,97.77765005787039,99.42499860000557,630.7492116656755,197.20134517708004,200.539328789725
2025-01-05,6,4,A,0.03,356.1650646879211,106.58062577160496,109.31486419761471,727.8864065266052,178.97634412373986,187.58624490181037
2025-01-05,12,4,A,0.0,271.31891556743443,39.36714797453706,45.21695790391744,645.2381375073875,85.0237140679787,98.38941654905916
