case,plan_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_purchase_kwh,emergency_days,energy_min_kwh,energy_max_kwh,final_energy_kwh,simultaneous_slots
risk_0,13685172.131907146,998619.7790321241,14683791.910939269,265607.6832424407,332,1200.0,10800.0,10050.0,0
risk_005,13833604.79126725,881685.8591477522,14715290.650415003,235957.4422623851,330,1200.0,10800.0,10050.0,0
risk_010,14039357.523180783,755001.8595754816,14794359.382756265,201844.13617444533,328,1200.0,10800.0,10050.0,0
risk_020,14377822.405742012,612504.4048897666,14990326.81063178,164511.03233114973,324,1200.0,10800.0,10050.0,0
scenarios_20,13860191.935125357,906750.7708920491,14766942.706017405,240605.79701477996,331,1200.0,10800.0,10050.0,0
scenarios_50,13799854.947155857,874913.6481633869,14674768.595319243,234164.8364725482,330,1200.0,10800.0,10050.0,0
